                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.4893,                 1.0283,                 2.4191,                0.92475,                      1,                  0.995,                 0.0995,                 3.9648,                 2.8253,                 1.8935,              0.0016535,              0.0016535,              0.0016535
                     73,                 1.6666,                0.97007,                 2.2128,                0.93815,                      1,                  0.995,                 0.0995,                 3.7028,                 2.4737,                   1.42,              0.0016485,              0.0016485,              0.0016485
                     74,                 1.7474,                  1.007,                 2.2774,                0.92955,                      1,                  0.995,                 0.0995,                 3.9688,                 2.4467,                 1.2146,              0.0016436,              0.0016436,              0.0016436
                     75,                 1.6253,                 1.1813,                 2.5396,                0.91377,                      1,                  0.995,                 0.0995,                 4.2068,                  2.288,                 1.1081,              0.0016386,              0.0016386,              0.0016386
                     76,                 1.6187,                 0.9884,                   2.46,                0.93009,                      1,                  0.995,                 0.0995,                 4.2834,                 2.1959,                 1.0736,              0.0016337,              0.0016337,              0.0016337
                     77,                 1.6148,                0.99878,                 2.4033,                0.92154,                      1,                  0.995,                 0.0995,                 4.2922,                 2.4471,                 1.2202,              0.0016287,              0.0016287,              0.0016287
                     78,                 1.5723,                    1.1,                 2.2055,                0.55337,                      1,                  0.995,                 0.0995,                 4.1978,                 2.4827,                 1.4141,              0.0016238,              0.0016238,              0.0016238
                     79,                 1.4541,                 1.0176,                 2.3455,                0.47736,                      1,                 0.4975,                0.04975,                 4.2649,                 2.3663,                 1.7047,              0.0016189,              0.0016189,              0.0016189
                     80,                 1.7423,                 1.1046,                 2.1542,                0.47535,                      1,                 0.4975,                0.04975,                 4.3106,                 2.3658,                 1.6523,              0.0016139,              0.0016139,              0.0016139
                     81,                 1.6144,                 1.0169,                  2.431,                 0.8317,                      1,                  0.995,                  0.199,                 4.2802,                 2.3395,                 1.2909,              0.0016089,              0.0016089,              0.0016089
                     82,                 1.6297,                 1.0361,                 2.5107,                0.87776,                      1,                  0.995,                 0.0995,                 4.2617,                 2.7039,                 1.1505,               0.001604,               0.001604,               0.001604
                     83,                 1.6648,                0.98784,                 2.4161,                0.88705,                      1,                  0.995,                 0.0995,                 4.2296,                 2.6801,                 1.4341,              0.0015991,              0.0015991,              0.0015991
                     84,                 1.5741,                 1.0291,                 2.0422,                0.88705,                      1,                  0.995,                 0.0995,                 4.1321,                 2.2759,                 1.6727,              0.0015941,              0.0015941,              0.0015941
                     85,                 1.3935,                0.97293,                 1.9865,                0.88705,                      1,                  0.995,                 0.0995,                 3.9788,                 1.8116,                 1.5844,              0.0015892,              0.0015892,              0.0015892
                     86,                 1.5376,                 0.9992,                 2.2341,                0.89787,                      1,                  0.995,                  0.199,                  3.871,                 1.9016,                 1.3575,              0.0015842,              0.0015842,              0.0015842
                     87,                 1.4724,                0.93484,                 2.3643,                0.89284,                      1,                  0.995,                  0.199,                 3.9535,                 2.5013,                 1.2086,              0.0015793,              0.0015793,              0.0015793
                     88,                 1.4706,                0.87529,                 2.0885,                 0.9395,                      1,                  0.995,                 0.0995,                 4.1038,                 3.3311,                  1.211,              0.0015743,              0.0015743,              0.0015743
                     89,                 1.5625,                0.93327,                  1.892,                0.94455,                      1,                  0.995,                 0.0995,                 4.0532,                 2.8199,                 1.3312,              0.0015693,              0.0015693,              0.0015693
                     90,                 1.4452,                0.90729,                 2.1416,                0.91315,                      1,                  0.995,                 0.0995,                  4.039,                 2.0685,                 1.4083,              0.0015644,              0.0015644,              0.0015644
                     91,                 1.5681,                0.99802,                 2.7472,                0.91315,                      1,                  0.995,                 0.0995,                 3.9138,                 1.5909,                 1.2772,              0.0015594,              0.0015594,              0.0015594
                     92,                 1.6248,                0.95313,                  2.572,                0.92088,                      1,                  0.995,                 0.0995,                 3.8288,                 1.4157,                 1.2672,              0.0015545,              0.0015545,              0.0015545
                     93,                 1.6172,                 1.0156,                  2.271,                0.92088,                      1,                  0.995,                 0.0995,                 4.1362,                 1.7546,                 1.2421,              0.0015496,              0.0015496,              0.0015496
                     94,                 1.6348,                0.93657,                  2.255,                0.92088,                      1,                  0.995,                 0.0995,                 4.1462,                  1.601,                 1.1004,              0.0015446,              0.0015446,              0.0015446
                     95,                   1.56,                0.97169,                 2.1397,                0.92088,                      1,                  0.995,                 0.0995,                 3.8623,                  1.287,                 1.0796,              0.0015397,              0.0015397,              0.0015397
                     96,                  1.522,                0.91913,                 2.2595,                0.95369,                      1,                  0.995,                 0.0995,                 3.6138,                 1.0361,                 1.0339,              0.0015347,              0.0015347,              0.0015347
                     97,                 1.5456,                0.88829,                 2.3462,                0.95369,                      1,                  0.995,                 0.0995,                 3.7051,                 1.1835,                 1.0691,              0.0015298,              0.0015298,              0.0015298
